time,BTC,ETH,XRP,BCH,USDT,LTC,EOS
2018-04-30 01:00:00,9411.14,691.07,0.8593,1434.7,1.0,153.64,20.99
2018-04-30 02:00:00,9441.52,692.51,0.8615,1439.43,1.0,153.6,20.26
2018-04-30 03:00:00,9288.58,677.54,0.8446,1402.55,1.0,150.72,19.02
2018-04-30 04:00:00,9277.3,680.12,0.8508,1401.51,1.0,150.99,19.4
2018-04-30 05:00:00,9349.54,686.04,0.8548,1411.85,1.0,151.59,19.5
2018-04-30 06:00:00,9312.26,682.38,0.8458,1396.91,1.0,150.57,18.1
2018-04-30 07:00:00,9229.42,677.19,0.8362,1383.95,1.0,150.1,18.23
2018-04-30 08:00:00,9198.62,684.54,0.8352,1387.76,1.0,149.94,18.23
2018-04-30 09:00:00,9224.88,686.92,0.8392,1396.17,1.0,150.46,18.18
2018-04-30 10:00:00,9263.31,688.35,0.8441,1399.34,1.0,150.58,18.69
2018-04-30 11:00:00,9274.61,685.61,0.8445,1399.59,1.0,150.72,19.03
2018-04-30 12:00:00,9311.77,686.79,0.845,1401.44,1.0,151.15,18.78
2018-04-30 13:00:00,9288.34,684.55,0.8433,1394.22,1.0,150.93,18.43
2018-04-30 14:00:00,9283.73,679.66,0.8372,1385.65,1.0,150.45,18.5
2018-04-30 15:00:00,9310.9,682.0,0.8459,1388.91,1.0,150.89,18.54
2018-04-30 16:00:00,9285.01,678.81,0.837,1383.06,0.9998,150.57,17.94
2018-04-30 17:00:00,9333.93,680.52,0.8429,1398.37,1.0,150.92,18.1
2018-04-30 18:00:00,9341.55,682.01,0.8501,1395.87,1.0,150.98,18.34
2018-04-30 19:00:00,9325.79,678.17,0.8458,1390.61,1.0,150.59,18.25
2018-04-30 20:00:00,9285.63,671.76,0.8379,1376.49,1.0,149.79,17.45
2018-04-30 21:00:00,9234.61,670.02,0.829,1347.25,0.9999,149.05,17.1
2018-04-30 22:00:00,9198.4,664.67,0.8214,1336.4,0.9999,147.98,16.97
2018-04-30 23:00:00,9248.45,670.04,0.8313,1348.27,1.0,148.27,17.46
2018-05-01 00:00:00,8987.52,633.11,0.7894,1258.84,1.0,144.29,16.19
2018-05-01 01:00:00,9010.32,647.02,0.8004,1290.44,1.0,145.52,16.6
2018-05-01 02:00:00,9020.95,650.14,0.8034,1300.28,1.0,145.42,16.8
