time,BTC,ETH,XRP,BCH,USDT,LTC,EOS
2019-04-30 01:00:00,5250.4,158.53,0.2958,243.75,1.02,69.59,4.8
2019-04-30 02:00:00,5252.69,160.06,0.2966,242.96,1.04,69.89,4.81
2019-04-30 03:00:00,5241.37,159.33,0.2966,240.62,1.01,69.4,4.78
2019-04-30 04:00:00,5227.19,158.75,0.2951,238.0,1.02,68.76,4.76
2019-04-30 05:00:00,5230.83,158.84,0.2953,237.35,1.01,69.0,4.76
2019-04-30 06:00:00,5237.77,158.73,0.2952,240.26,1.01,69.45,4.77
2019-04-30 07:00:00,5241.78,159.39,0.2965,242.07,1.01,69.51,4.79
2019-04-30 08:00:00,5252.9,159.8,0.2969,240.94,1.01,69.56,4.78
2019-04-30 09:00:00,5240.33,159.78,0.306,239.82,1.01,69.47,4.77
2019-04-30 10:00:00,5273.57,160.88,0.3079,249.43,1.02,71.22,4.82
2019-04-30 11:00:00,5297.22,161.04,0.3105,254.49,1.01,72.95,4.89
2019-04-30 12:00:00,5298.84,161.21,0.3087,252.44,1.01,72.3,4.88
2019-04-30 13:00:00,5345.81,161.6,0.3081,254.95,1.01,72.82,4.91
2019-04-30 14:00:00,5350.73,160.8,0.3097,258.97,1.01,73.11,4.9
2019-04-30 15:00:00,5355.0,161.45,0.3078,258.51,1.01,73.47,4.9
2019-04-30 16:00:00,5339.89,161.08,0.3099,257.29,1.02,73.36,4.92
2019-04-30 17:00:00,5329.51,161.32,0.3106,257.14,1.02,73.38,4.92
2019-04-30 18:00:00,5343.57,160.89,0.3125,257.55,1.02,73.5,4.91
2019-04-30 19:00:00,5332.73,160.36,0.3118,256.75,1.02,73.17,4.9
2019-04-30 20:00:00,5331.7,160.64,0.312,257.34,1.01,73.73,4.91
2019-04-30 21:00:00,5349.69,161.47,0.3124,259.74,1.01,74.54,4.91
2019-04-30 22:00:00,5369.88,164.38,0.3137,269.4,1.02,75.37,5.04
2019-04-30 23:00:00,5350.64,164.39,0.3113,271.31,1.02,75.12,5.04
2019-05-01 00:00:00,5375.25,165.47,0.3122,278.86,1.02,75.37,5.01
2019-05-01 01:00:00,5379.61,164.7,0.3114,274.55,1.02,74.65,5.0
2019-05-01 02:00:00,5393.32,164.81,0.3102,274.79,1.01,74.78,5.01
2019-05-01 03:00:00,5387.11,163.98,0.3093,273.03,0.9938,74.63,4.99
2019-05-01 04:00:00,5386.6,163.35,0.3091,272.14,1.02,74.61,4.98
2019-05-01 05:00:00,5392.44,163.24,0.3096,271.2,1.01,74.73,4.99
2019-05-01 06:00:00,5393.38,164.0,0.3096,277.48,1.02,74.96,5.0
2019-05-01 07:00:00,5388.16,164.02,0.3088,273.89,1.02,74.54,5.01
2019-05-01 08:00:00,5373.54,162.57,0.3062,271.12,1.01,73.53,4.92
2019-05-01 09:00:00,5380.92,162.74,0.3054,272.57,1.02,73.99,4.96
2019-05-01 10:00:00,5381.95,162.69,0.3061,272.65,1.02,74.01,4.93
2019-05-01 11:00:00,5391.45,163.27,0.3055,272.2,1.01,74.12,4.92
2019-05-01 12:00:00,5376.12,162.4,0.3031,269.94,1.01,73.24,4.9
2019-05-01 13:00:00,5364.02,162.2,0.303,269.71,1.01,73.02,4.89
2019-05-01 14:00:00,5363.8,162.19,0.304,268.92,1.01,73.35,4.91
2019-05-01 15:00:00,5368.22,162.42,0.3052,269.75,1.02,73.72,4.96
2019-05-01 16:00:00,5363.56,162.62,0.3046,271.15,1.02,73.38,4.93
2019-05-01 17:00:00,5413.39,163.59,0.3064,275.21,1.01,74.87,4.99
2019-05-01 18:00:00,5376.9,161.96,0.3035,270.99,1.01,73.84,4.97
2019-05-01 19:00:00,5371.51,160.66,0.3024,270.47,1.01,73.14,4.91
2019-05-01 20:00:00,5376.87,160.97,0.3038,271.51,1.02,73.05,4.92
2019-05-01 21:00:00,5369.82,160.76,0.3042,270.43,1.01,72.94,4.94
2019-05-01 22:00:00,5372.96,160.69,0.3036,269.8,1.01,72.77,4.93
2019-05-01 23:00:00,5389.54,161.42,0.3055,272.69,1.01,73.85,4.96
2019-05-02 00:00:00,5392.76,161.4,0.3046,273.56,1.01,74.25,4.93
2019-05-02 01:00:00,5391.35,161.0,0.3042,269.47,1.01,73.25,4.91
2019-05-02 02:00:00,5403.61,161.11,0.3029,269.63,1.04,73.38,4.91
2019-05-02 03:00:00,5413.8,161.81,0.3044,271.85,1.01,73.8,4.93
2019-05-02 04:00:00,5405.49,161.07,0.3033,270.54,1.0,73.65,4.92
2019-05-02 05:00:00,5409.35,161.52,0.3038,271.29,1.01,73.85,4.96
2019-05-02 06:00:00,5407.72,161.69,0.3049,271.9,1.02,74.04,4.95
2019-05-02 07:00:00,5436.49,162.04,0.305,277.11,1.04,74.37,4.97
2019-05-02 08:00:00,5469.32,162.17,0.3067,281.28,1.02,74.68,5.01
2019-05-02 09:00:00,5457.46,161.32,0.3064,279.25,1.02,73.93,4.97
2019-05-02 10:00:00,5463.16,161.13,0.3069,279.67,1.02,73.83,4.95
2019-05-02 11:00:00,5470.2,161.13,0.3072,280.77,1.02,74.12,4.99
2019-05-02 12:00:00,5487.08,160.61,0.3061,280.45,1.03,74.19,4.96
2019-05-02 13:00:00,5488.09,160.7,0.3049,276.97,1.02,73.8,4.91
2019-05-02 14:00:00,5494.2,160.54,0.303,275.73,1.02,73.61,4.92
