time,BTC,ETH,XRP,BCH,USDT,LTC,EOS
2019-10-30 01:00:00,9398.49,191.52,0.305,302.65,1.003,60.94,3.418
2019-10-30 02:00:00,9332.79,191.4,0.3024,298.18,1.003,60.37,3.397
2019-10-30 03:00:00,9297.45,190.03,0.304,295.81,1.003,59.69,3.38
2019-10-30 04:00:00,9267.06,187.69,0.3015,294.19,1.002,59.26,3.36
2019-10-30 05:00:00,9209.6,186.46,0.2992,290.73,1.003,59.19,3.345
2019-10-30 06:00:00,9241.07,186.5,0.2988,290.21,1.002,59.22,3.344
2019-10-30 07:00:00,9175.66,185.65,0.2983,289.3,1.002,58.88,3.339
2019-10-30 08:00:00,9209.79,186.19,0.2986,292.57,1.002,59.22,3.344
2019-10-30 09:00:00,9235.16,187.23,0.3002,295.02,1.002,59.46,3.384
2019-10-30 10:00:00,9125.66,183.87,0.296,287.27,1.002,57.99,3.278
2019-10-30 11:00:00,9119.72,183.58,0.2935,290.61,1.003,58.4,3.281
2019-10-30 12:00:00,9138.24,183.57,0.2941,290.96,1.003,58.08,3.28
2019-10-30 13:00:00,9068.82,181.58,0.292,286.55,1.003,57.58,3.226
2019-10-30 14:00:00,9102.88,182.6,0.2923,288.1,1.003,57.69,3.251
2019-10-30 15:00:00,9123.2,182.49,0.2929,291.13,1.003,57.99,3.253
2019-10-30 16:00:00,9080.13,181.34,0.2918,285.27,1.004,57.34,3.217
2019-10-30 17:00:00,9130.46,182.28,0.2941,286.78,1.004,57.76,3.251
2019-10-30 18:00:00,9169.12,183.48,0.2945,289.66,1.004,58.07,3.266
2019-10-30 19:00:00,9223.08,183.56,0.2958,288.51,1.003,58.21,3.291
2019-10-30 20:00:00,9188.32,183.18,0.2961,288.48,1.004,58.12,3.282
2019-10-30 21:00:00,9157.05,182.16,0.2952,288.4,1.002,57.91,3.275
2019-10-30 22:00:00,9234.91,183.62,0.2964,293.17,1.004,58.2,3.292
2019-10-30 23:00:00,9169.86,183.52,0.2952,288.72,1.004,58.03,3.28
2019-10-31 00:00:00,9162.47,184.31,0.296,289.28,1.004,58.5,3.277
2019-10-31 01:00:00,9078.74,182.27,0.2936,286.89,1.003,57.65,3.248
2019-10-31 02:00:00,9108.9,182.72,0.2941,287.06,1.003,57.95,3.258
2019-10-31 03:00:00,9122.81,182.96,0.2942,288.39,1.003,58.27,3.275
2019-10-31 04:00:00,9101.52,182.75,0.2944,288.1,1.003,58.27,3.265
2019-10-31 05:00:00,9185.11,183.72,0.2954,290.0,1.004,58.64,3.286
2019-10-31 06:00:00,9133.6,183.11,0.2954,288.46,1.003,58.51,3.278
2019-10-31 07:00:00,9115.98,182.53,0.2938,286.92,1.003,58.25,3.252
2019-10-31 08:00:00,9136.31,182.53,0.2944,287.1,1.003,58.42,3.268
2019-10-31 09:00:00,9061.71,179.54,0.2914,277.9,1.003,57.52,3.209
2019-10-31 10:00:00,9095.77,180.23,0.2911,277.46,1.003,57.83,3.228
2019-10-31 11:00:00,9133.11,180.59,0.292,278.71,1.003,58.18,3.241
2019-10-31 12:00:00,9332.93,183.96,0.2958,286.7,1.003,59.15,3.311
2019-10-31 13:00:00,9321.45,184.1,0.296,284.18,1.003,59.31,3.313
2019-10-31 14:00:00,9273.09,183.39,0.2952,286.15,1.003,59.02,3.291
2019-10-31 15:00:00,9245.73,182.2,0.294,281.81,1.004,58.7,3.25
2019-10-31 16:00:00,9271.89,183.21,0.2942,282.32,1.003,58.64,3.259
2019-10-31 17:00:00,9279.97,183.68,0.2947,282.51,1.003,58.82,3.28
2019-10-31 18:00:00,9258.95,183.21,0.2944,281.31,1.003,58.76,3.256
2019-10-31 19:00:00,9251.18,183.55,0.294,281.51,1.004,58.75,3.257
2019-10-31 20:00:00,9197.68,181.59,0.2946,282.03,1.003,58.48,3.245
2019-10-31 21:00:00,9144.69,182.12,0.2945,282.62,1.003,58.28,3.256
